[0.133,0.108],
[19.586,300],
[1.985,2.122],
[17.047,300],
[0.071,0.068],
[41.264,300],
[8.957,300],
[0.044,300],
[300,300],
[300,43.773],
[0.036,0.01],
[0.019,300],
[0.483,0.483],
[0.619,0.7],
[300,300],
[0.341,300],
[300,300],
[300,300],
[0.047,300],
[0.297,0.278],
[300,300],
[300,300],
[0.558,0.494],
[31.161,37.857],
[7.72,300],
[0.312,0.177],
[5.509,300],
[300,300],
[300,300],
[0.01,0.012],
[300,300],
[300,300],
[0.805,0.882],
[0.635,0.486],
[300,300],
[9.54,1.764],
[300,300],
[0.397,1.474],
[1.424,1.537],
[5.556,1.936],
[70.019,7.98],
[0.272,300],
[0.463,0.065],
[2.966,300],
[0.762,300],
[300,300],
[300,300],
[1.266,1.474],
[1.083,1.026],
[300,300],
[300,300],
[0.324,0.249],
[2.561,2.971],
[19.391,300],
[17.034,6.882],
[300,300],
[0.749,300],
[0.015,0.032],
[300,300],
[21.174,0.91],
[3.944,300],
[300,300],
[1.738,37.77],
[0.336,186.914],
[9.463,0.526],
[0.043,300],
[163.901,300],
[0.308,300],
[0.02,0.018],
[300,300],
[300,300],
[300,300],
[300,300],
[9.999,300],
[300,300],
[0.171,0.094],
[300,300],
[0.298,0.304],
[300,300],
[0.062,0.066],
[1.091,0.384],
[0.009,0.008],
[300,0.014],
[0.022,0.022],
[0.775,0.051],
[300,300],
[0.076,300],
[0.712,0.799],
[300,300],
[1.315,300],
[10.764,300],
[21.545,300],
[300,6.983],
[300,300],
[300,300],
[300,300],
[1.482,1.402],
[0.55,0.2],
[6.366,7.08],
[0.021,0.018],
[1.353,1.091],
[0.602,300],
[0.011,300],
[300,300],
[0.132,0.154],
[300,300],
[0.073,0.061],
[24.967,300],
[17.666,300],
[1.025,1.113],
[300,300],
[300,300],
[2.601,300],
[4.037,300],
[0.231,0.449],
[300,300],
[34.703,5.97],
[0.034,300],
[213.646,300],
[300,300],
[300,300],
[300,300],
[0.006,300],
[300,300],
[4.12,300],
[300,300],
[57.693,1.646],
[0.105,0.056],
[0.202,0.227],
[0.022,0.017],
[0.022,1.292],
[300,300],
[300,300],
[4.724,3.696],
[16.254,300],
[0.273,5.268],
[300,300],
[6.282,300],
[300,300],
[300,300],
[1.151,300],
[0.03,0.032],
[300,300],
[0.626,0.703],
[0.002,0.001],
[0.094,0.102],
[0.624,7.089],
[0.215,1.745],
[0.051,0.052],
[0.538,0.632],
[0.259,0.186],
[0.109,300],
[2.328,2.25],
[0.961,1.015],
[0.693,0.773],
[0.393,0.42],
[0.043,300],
[300,300],
[0.033,300],
[0.034,300],
[300,300],
[0.077,0.067],
[3.838,4.955],
[300,300],
[0.241,0.265],
[1.106,1.163],
[300,300],
[1.199,300],
[0.263,0.189],
[300,300],
[300,300],
[0.091,0.061],
[300,300],
[300,300],
[300,300],
[0.226,0.064],
[300,300],
[300,300],
[0.383,19.987],
[0.137,300],
[300,300],
[0.012,300],
[300,300],
[300,300],
[300,300],
[300,300],
[300,300],
[24.629,300],
[300,300],
[300,300],
[300,300],
[300,300],
[10.553,300],
[4.927,0.39],
[0.581,0.176],
[2.553,300],
[1.366,300],
[0.113,300],
[29.155,14.137],
[0.032,0.049],
[0.263,0.287],
[0.076,0.048],
[14.594,8.726],
[0.111,300],
[1.049,300],
[0.7,300],
[5.813,4.433],
[0.028,0.023],
[300,300],
[0.07,300],
[5.644,300],
[4.863,4.976],
[300,300],
[300,300],
[300,300],
[7.653,4.28],
[0.682,0.585],
[300,300],
[300,300],
[300,300],
[300,300],
[1.364,1.141],
[12.417,300],
[0.899,22.483],
[0.08,0.044],
[0.032,8.979],
[8.338,0.171],
[59.433,0.761],
[0.006,300],
[0.041,300],
[0.274,0.31],
[300,300],
[300,300],
[0.335,0.419],
[0.492,0.104],
[0.243,300],
[27.138,141.135],
[2.473,2.157],
[1.128,0.705],
[41.92,5.862],
[300,300],
[300,300],
[0.074,0.068],
[57.506,1.686],
[300,300],
[0.279,0.258],
[0.218,300],
[19.497,1.298],
[0.113,300],
[300,300],
[0.076,0.085],
[300,300],
[0.062,0.047],
[0.289,300],
[300,300],
[8.518,10.91],
[300,300],
[0.357,0.291],
[0.128,0.144],
[33.312,300],
[300,300],
[0.55,300],
[9.164,7.565],
[0.066,0.067],
[6.394,300],
[18.237,300],
[79.841,300],
[0.108,300],
[4.101,300],
[300,300],
[0.033,300],
[300,300],
[0.123,0.142],
[300,300],
[0.03,0.033],
[211.002,300],
[1.698,300],
[0.489,24.502],
[300,300],
[300,300],
[300,300],
[300,300],
[0.038,300],
[0.166,0.183],
[0.048,300],
[259.98,300],
[242.412,18.632],
[0.319,0.356],
[300,300],
[1.541,0.041],
[0.042,300],
[300,300],
[300,300],
[300,300],
[32.996,300],
[300,300],
[0.35,0.306],
[5.514,300],
[1.755,300],
