[0.133,23.8],
[19.586,118.8],
[1.985,300.1],
[17.047,300],
[0.071,300],
[41.264,300],
[8.957,300],
[0.044,7.0],
[300,300],
[300,300],
[0.036,0.3],
[0.019,48.7],
[0.483,300],
[0.619,4.8],
[300,300],
[0.341,0.1],
[300,46.6],
[300,300],
[0.047,0.1],
[0.297,2.9],
[300,300],
[300,300],
[0.558,24.4],
[31.161,300],
[7.72,245.7],
[0.312,1.2],
[5.509,300],
[300,0.3],
[300,300],
[0.01,0.2],
[300,300],
[300,300],
[0.805,300],
[0.635,300],
[300,73.8],
[9.54,1.6],
[300,300],
[0.397,300],
[1.424,300],
[5.556,300.2],
[70.019,300],
[0.272,300],
[0.463,1.8],
[2.966,300],
[0.762,300],
[300,300],
[300,16.3],
[1.266,300],
[1.083,300],
[300,85.3],
[300,300],
[0.324,268.6],
[2.561,300],
[19.391,0.8],
[17.034,300],
[300,300],
[0.749,323.5],
[0.015,1.8],
[300,300],
[21.174,114.3],
[3.944,6.2],
[300,2.3],
[1.738,300],
[0.336,300],
[9.463,35.2],
[0.043,0.1],
[163.901,0.7],
[0.308,10.6],
[0.02,0.3],
[300,300],
[300,22.2],
[300,300],
[300,300],
[9.999,130.7],
[300,300],
[0.171,69.3],
[300,300],
[0.298,208.4],
[300,34.8],
[0.062,10.1],
[1.091,14.3],
[0.009,1.0],
[300,14.6],
[0.022,300],
[0.775,5.5],
[300,300],
[0.076,7.3],
[0.712,8.9],
[300,300],
[1.315,300],
[10.764,300],
[21.545,20.7],
[300,300],
[300,91.1],
[300,300],
[300,32.6],
[1.482,300],
[0.55,300],
[6.366,300.1],
[0.021,300],
[1.353,124.9],
[0.602,300],
[0.011,38.1],
[300,300],
[0.132,0.3],
[300,300],
[0.073,0.6],
[24.967,300],
[17.666,12.1],
[1.025,34.5],
[300,300],
[300,300],
[2.601,300],
[4.037,51.1],
[0.231,25.5],
[300,300],
[34.703,300],
[0.034,0.1],
[213.646,32.2],
[300,300],
[300,300],
[300,300],
[0.006,0.8],
[300,40.2],
[4.12,68.3],
[300,33.2],
[57.693,300],
[0.105,29.2],
[0.202,23.7],
[0.022,0.2],
[0.022,300],
[300,300],
[300,300],
[4.724,300.6],
[16.254,55.5],
[0.273,3.0],
[300,300],
[6.282,300],
[300,300],
[300,300],
[1.151,1.9],
[0.03,4.5],
[300,300],
[0.626,11.0],
[0.002,0.0],
[0.094,0.5],
[0.624,5.2],
[0.215,159.0],
[0.051,73.9],
[0.538,300],
[0.259,154.9],
[0.109,0.1],
[2.328,226.0],
[0.961,300],
[0.693,300],
[0.393,300],
[0.043,54.3],
[300,300],
[0.033,0.2],
[0.034,0.1],
[300,300],
[0.077,0.6],
[3.838,300],
[300,29.1],
[0.241,18.4],
[1.106,300],
[300,300],
[1.199,300],
[0.263,149.1],
[300,300],
[300,300],
[0.091,16.9],
[300,300],
[300,300],
[300,21.2],
[0.226,47.4],
[300,19.8],
[300,300],
[0.383,0.7],
[0.137,2.8],
[300,300],
[0.012,0.0],
[300,7.0],
[300,300],
[300,300],
[300,300],
[300,0.5],
[24.629,300.5],
[300,300],
[300,300],
[300,300],
[300,300],
[10.553,0.9],
[4.927,300],
[0.581,1.3],
[2.553,300],
[1.366,300],
[0.113,98.8],
[29.155,300],
[0.032,0.1],
[0.263,142.6],
[0.076,107.2],
[14.594,300.4],
[0.111,300],
[1.049,261.7],
[0.7,329.0],
[5.813,300],
[0.028,12.3],
[300,74.1],
[0.07,30.3],
[5.644,4.9],
[4.863,300],
[300,300],
[300,300],
[300,2.5],
[7.653,300],
[0.682,1.7],
[300,300],
[300,300],
[300,300],
[300,32.1],
[1.364,300],
[12.417,53.9],
[0.899,5.5],
[0.08,23.6],
[0.032,0.4],
[8.338,132.1],
[59.433,276.1],
[0.006,0.1],
[0.041,0.1],
[0.274,21.2],
[300,300],
[300,300],
[0.335,2.1],
[0.492,14.9],
[0.243,1.0],
[27.138,300],
[2.473,13.7],
[1.128,27.0],
[41.92,300],
[300,300],
[300,300],
[0.074,0.8],
[57.506,244.5],
[300,300],
[0.279,1.0],
[0.218,4.6],
[19.497,148.1],
[0.113,300],
[300,300],
[0.076,2.8],
[300,300],
[0.062,0.4],
[0.289,0.1],
[300,300],
[8.518,300],
[300,300],
[0.357,34.8],
[0.128,1.2],
[33.312,300],
[300,300],
[0.55,0.1],
[9.164,300],
[0.066,36.2],
[6.394,1.6],
[18.237,10.9],
[79.841,163.7],
[0.108,300],
[4.101,22.8],
[300,121.0],
[0.033,0.5],
[300,300],
[0.123,0.4],
[300,300],
[0.03,300],
[211.002,300],
[1.698,300],
[0.489,27.6],
[300,300],
[300,300],
[300,300],
[300,132.5],
[0.038,0.1],
[0.166,300],
[0.048,0.1],
[259.98,32.1],
[242.412,300],
[0.319,81.4],
[300,300],
[1.541,31.9],
[0.042,0.4],
[300,96.5],
[300,1.8],
[300,300],
[32.996,19.7],
[300,300],
[0.35,3.5],
[5.514,300],
[1.755,81.2],
[300,300],
[3.856,300],
[0.146,65.5],
[300,300],
[0.01,52.4],
[0.709,352.9],
[300,300],
[0.263,12.7],
[0.721,300],
[9.755,33.9],
[59.46,300],
[0.12,300],
[13.408,300],
[0.286,34.3],
[0.024,46.4],
[300,145.8],
[300,300],
[0.067,208.1],
[1.212,14.3],
[0.01,0.0],
[0.085,0.0],
[0.008,0.0],
[0.163,300.0],
[1.051,298.5],
[0.123,280.1],
[300,300],
[300,300],
[7.268,300],
[0.469,3.8],
[4.693,300],
[2.311,300],
[3.551,130.9],
[1.182,300],
[300,300],
[0.502,20.9],
[300,300],
[1.487,21.0],
[0.286,300],
[0.0,0.0],
[7.18,306.7],
[1.14,300],
[253.613,300],
[0.111,300.0],
[0.054,0.6],
[49.337,300],
[10.472,300],
[0.696,35.4],
[300,300],
[300,300],
[0.685,0.1],
[300,300],
[300,300],
[1.05,300],
[300,300],
[0.247,186.4],
[300,300],
[300,300],
[300,300],
[300,300],
[300,300],
[300,300],
[300,300],
[300,300],
[300,300],
[300,300],
[300,300],
[0.017,1.0],
[0.016,0.9],
[0.021,0.9],
[0.019,0.9],
[0.018,0.8],
[0.017,1.0],
[0.017,10.1],
[0.017,0.7],
[0.017,0.8],
[0.016,0.3],
[0.169,30.9],
[0.098,1.7],
[0.104,1.4],
[0.131,55.3],
[0.107,1.6],
[0.151,9.6],
[0.119,2.2],
[0.131,54.8],
[0.113,7.7],
[0.154,48.8],
[0.14,1.2],
[0.154,1.9],
[0.141,18.1],
[0.152,31.0],
[0.113,1.2],
[0.141,18.8],
[0.072,153.0],
[0.123,1.8],
[0.169,32.1],
[0.201,1.7],
[0.52,11.7],
[0.528,4.9],
[0.482,10.9],
[0.454,300],
[0.602,3.5],
[0.497,3.8],
[0.477,2.9],
[0.487,3.8],
[0.548,3.0],
[0.798,0.8],
[0.646,57.4],
[1.135,4.8],
[1.047,5.7],
[0.801,7.1],
[0.869,5.6],
[0.695,8.1],
[0.83,300],
[0.734,7.9],
[0.881,5.3],
[0.709,51.4],
[1.089,17.5],
[0.715,110.4],
[1.147,15.9],
[0.747,45.1],
[1.122,5.3],
[0.745,44.9],
[0.795,5.2],
[0.671,138.1],
[1.005,3.8],
[0.659,7.2],
[3.21,300],
[3.426,11.7],
[4.61,288.8],
[4.015,10.5],
[3.055,13.8],
[3.354,194.9],
[3.72,53.9],
[2.884,47.7],
[2.991,12.7],
[4.714,12.4],
[7.982,14.9],
[8.105,16.9],
[9.091,22.0],
[9.942,11.0],
[11.409,25.0],
[8.476,20.6],
[13.294,12.3],
[9.743,300],
[11.517,70.9],
[10.446,300],
[0.0,0.0],
[0.0,0.0],
[0.0,0.0],
[0.0,0.0],
[0.0,0.0],
[0.0,0.0],
[0.0,0.0],
[0.0,0.0],
[0.0,0.1],
[0.0,0.0],
[52.889,198.0],
[75.183,300],
[86.433,199.3],
[58.509,300],
[55.32,300],
[69.273,300],
[78.813,300],
[95.033,300],
[69.65,300],
[43.642,190.5],
[192.131,300],
[165.578,300],
[200.419,157.8],
[191.773,300],
[245.76,300],
[139.066,300],
[197.557,300],
[164.974,300],
[170.22,300],
[283.026,300],
[0.001,0.0],
[0.001,0.0],
[0.001,0.1],
[0.001,0.1],
[0.001,0.0],
[0.001,0.0],
[0.001,0.0],
[0.001,0.1],
[0.001,0.0],
[0.001,0.1],
[0.003,0.2],
[0.003,0.2],
[0.003,0.2],
[0.003,0.2],
[0.003,0.2],
[0.004,0.2],
[0.005,0.1],
[0.004,0.2],
[0.004,0.2],
[0.004,0.1],
